"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,1.0,127.91203166525325,35779.51610049359,279.3372099870154,249940.94248211492,96.13811322683243,122.28109416027559,114.03353805819006,3.019530676339641
2.0,1.0,218.95475890799077,42903.17618167921,246.74965511418995,138342.49495971936,3.323876071484761E-7,142.94603762455208,269.3754691243413,4.934837192819673
3.0,1.0,231.13899892582347,86585.52712641847,115.27585742984887,20149.051306791003,1168.7063815451763,154.6512665005346,227.20506523496513,7.970059451720714
4.0,1.0,341.51651602403984,3283.8990230985137,277.3182761027205,154600.62536195447,4.069476869945357E-10,147.56691279474268,292.11980950223995,5.749139374337371
5.0,1.0,330.5106079899768,15440.51313744867,168.42617150219283,30686.59780574971,805.8937763705478,125.83291485107351,179.4072839680515,9.092775634602008
6.0,1.0,316.0954691877221,50098.56956642958,255.4565022690927,157186.9177636523,8.174345788039994E-8,123.48987614150171,187.25089029967668,4.03685350427805
7.0,1.0,367.84590297348393,71368.17106951354,130.76288969761524,18335.992488832348,755.0861427457955,111.92539404302624,161.7151286269592,8.170906547811702
8.0,1.0,360.19106981235257,37139.78413707952,300.17324519471856,250691.6409687348,4.3552592552229933E-7,101.26664834830814,92.95875655638754,2.892052008359007
9.0,1.0,469.2848230877167,52786.49409285582,177.32063270353058,45073.32703050201,743.7950138319204,107.29332572379643,121.60754224812835,5.877744295060569
10.0,1.0,412.9574196645958,74372.43691519051,164.9546403775402,30153.584879278078,615.8684167108446,80.60719590103787,87.72779544183727,5.733841236531437
11.0,1.0,465.74703496295797,29251.99167613507,150.9757350481355,24777.97663014552,713.8402716878461,122.93647561205007,200.68833758757816,8.842975145464266
12.0,1.0,493.4609174553091,73569.12790634674,141.0764440245449,24935.71406847678,701.5768911867366,135.85833890372183,243.50500602638422,8.476216589862549
13.0,1.0,574.7309585321026,17894.15695756932,104.879793046746,8582.457575736122,853.9287997217172,154.7132319058523,318.1949308627992,15.454853897241437
14.0,1.0,580.216014186916,52087.84726045628,215.70814916837307,73167.12435934352,273.22225839538277,112.17483751031044,182.1856610469857,5.602109568232375
15.0,1.0,514.7452552652735,102096.52435434119,143.26265410948417,23817.973168320266,1108.315561902323,157.6565175793469,230.31085049766807,10.600667800329436
16.0,1.0,567.3888507075317,43758.06410808355,114.54124846735357,9397.972966606594,793.291954645764,102.43764512793233,143.06882035703606,11.17927143874108
17.0,1.0,671.2448272540711,56042.87953989953,163.03801459147775,44835.7818543116,561.3128765040753,123.05942188167563,166.8323413322346,5.723299904292042
18.0,1.0,658.563071999387,57220.49252682046,131.83426059996526,20961.173949437758,911.1357433162821,141.187444623678,223.79288133907426,9.145429389756387
19.0,1.0,611.0855613434144,60617.9859874461,146.2658600373442,37059.893464737266,832.8397303821345,143.393796201357,189.01834201121844,6.479299699926329
20.0,1.0,641.1915836334761,69188.05772743444,131.8528450935329,20980.68287492548,868.5943162868299,125.11381125309602,185.8072312883692,8.110227942576438
21.0,1.0,786.1342795824473,46341.02856329343,254.9203715700994,161917.99375300642,263.9970205574718,197.88274983856553,370.03081042126297,6.205395066627781
22.0,1.0,653.3021855959533,122864.7249050061,126.21140436990397,13136.676637206374,922.1327141104331,114.79044207113995,154.29020189678272,10.875873336542414
23.0,1.0,818.748621316161,2045.067673250403,144.17072772995928,31379.25494095998,883.2649852468634,191.96724379719052,405.1619119010019,9.917240966981801
24.0,1.0,747.8436970883175,22738.376029924737,208.6444730836008,69962.78860970619,531.5277217911624,157.49826449298237,269.0111210155763,7.658036190398172
25.0,1.0,796.9710580407607,76614.06235945322,127.78906980129281,12928.92033434772,677.3184083717899,111.9791102192642,191.3036510276019,11.051667488339167
26.0,1.0,890.458076727294,23662.853419027928,162.8394110256666,29749.98747536802,678.2132769292041,127.28147583911726,206.35471611302364,8.868801937926154
27.0,1.0,826.0484356019858,30115.08657667517,255.82864088354867,114736.17358963782,7.158940248105812E-12,122.85915085260206,221.56917798527274,5.499490055768267
28.0,1.0,874.70720863299,33502.919145492146,103.04918968247883,14059.334472025896,1628.428920320086,142.5104326974738,145.2399341504206,8.412743117571356
29.0,1.0,881.8684951429137,34235.0182090302,120.82572994081468,34097.55739936904,1604.4825484950104,176.42278633693263,205.3214753918066,5.908189553186247
30.0,1.0,845.8515668365826,123340.32792968972,139.48635435486042,20339.258259012924,845.1244459122732,95.07825267497357,107.46592860150032,7.137724319786273
