,x [nm],y [nm],n_match,C1_id,C2_id,C3_id,C4_id,C1_posX,C1_posY,C2_posX,C2_posY,C3_posX,C3_posY,C4_posX,C4_posY,C1_sigma,C2_sigma,C3_sigma,C4_sigma,C1_int,C2_int,C3_int,C4_int
24,102985.85200982213,122343.46426487132,3,1863,7355,,6076,103004.22150894244,122352.85535072885,102950.1900315519,122348.43758369936,,,103003.14448897204,122329.09986018576,3.381290545182866,6.923632860082834,,1.9540690848520572,868.820637987504,964.3680375816087,,571.0812886147188
25,34247.6304875386,44186.21925799654,3,,2379,3150,1337,,,34332.33893131319,44222.28379559377,34229.76669221395,44201.49393640334,34180.785839088654,44134.88004199253,,99.08307636930384,94.81751447984162,133.761060277234,,38874.46692419015,14009.678042235995,3152.7811031915094
26,57799.563075403545,51704.34868394289,3,,4192,5686,2802,,,57729.86007341849,51691.28910673847,57831.40293837266,51774.608264774375,57837.4262144195,51647.14868031583,,96.10296941301524,98.23280205609424,131.77170268590322,,97823.38466926236,99823.03103954284,10184.107581603324
27,60736.12392103232,72007.91919056485,3,1182,,5971,3015,60704.01404460051,72061.26826126732,,,60672.061065441885,71961.69392322857,60832.29665305455,72000.7953871987,156.76243479861233,,105.0419304154531,97.94027279891388,34169.29892478665,,51465.96975381179,4103.064692157132
28,49504.12137779297,95428.56524719928,3,961,3551,,2282,49503.997119322135,95427.7066266142,49504.24822478095,95457.22065263196,,,49504.118789275846,95400.76846235168,1.889230922679347,2.609529231860079,,2.0737445169121185,854.4895593923893,908.6338793143984,,851.8286453607077
29,121117.35768337148,32753.7196415615,3,,8212,11408,7327,,,121119.36820486364,32751.15298981001,121089.85796563914,32813.36259349116,121142.84687961164,32696.64334138333,,117.27772983917782,121.91354542902316,158.8072863961874,,10926.609161413517,59467.01565204685,12950.032665390265
30,49508.135545372555,42133.12408228624,3,960,3546,,2280,49500.57484274382,42147.02335831759,49490.26307135034,42122.26280110993,,,49533.56872202353,42130.08608743119,0.6492827447960836,2.00787535046022,,0.0871327323159149,1031.1042150532264,908.5497305613594,,757.3556852207565
31,37361.07065779227,88377.68095355407,3,,2619,3443,1524,,,37365.22461740554,88361.7338980867,37394.481820116285,88447.319482297,37323.505535854994,88323.9894802785,,98.27082300660528,100.12315494812148,140.10711332849556,,28120.187947349677,71524.76392359691,6968.725374518564
32,126642.35199611582,39125.5975570347,3,2080,8430,,7657,126617.56748770986,39117.50181555185,126640.8066623337,39113.004193638415,,,126668.68183830386,39146.28666191386,4.634599103060181,1.4612991254106955,,2.9033604069318217,1074.441567023309,954.6727812746192,,710.8163871379539
33,100006.77217728387,70980.81242921879,3,1823,,9799,5843,100015.3457720524,70914.59632955375,,,100033.68024419766,71004.8689968623,99971.29051560152,71022.97196124033,107.21557302191452,,99.39176377093511,106.07509375984232,5744.07126567744,,15392.02066058996,6298.755166119
34,48251.30289725939,130905.4325459441,3,,3446,4636,2184,,,48297.45409360161,130844.41077110496,48303.78648501746,130974.47500987515,48152.66811315911,130897.4118568522,,97.54869157583676,170.3991666371535,105.7547013433513,,8006.213999934936,35998.52662377681,3151.850993476308
35,54512.10568093194,79127.47855856108,3,1070,3936,,2607,54604.3091720095,79114.10274013638,54497.69134138143,79203.2673861226,,,54434.316529404896,79065.06554942425,160.41566350057937,129.8260081778004,,143.32101185536314,17435.553578630115,45065.92100381525,,22580.86813202885
36,109588.53445790861,41967.688714722484,3,,7699,10597,6538,,,109575.82177201188,41980.63641816322,109607.51070642406,41896.3258214404,109582.27089528988,42026.10390456382,,111.4637144523441,117.13933884480863,111.40849006169816,,17012.67567743127,17194.066721718355,2165.0472167087946
37,62332.699976962176,92770.11150014588,3,,4533,6151,3129,,,62341.32729246253,92811.8072674817,62250.06542793695,92770.33547820793,62406.70721048705,92728.19175474804,,115.9483936380387,184.3910341308812,127.57350247380052,,23720.929724399342,99950.28543963004,9344.352655535353
38,97045.90421890431,117156.93193061436,3,1796,7026,,5634,97052.70979033769,117147.393689911,97068.29294785422,117135.30821004607,,,97016.709918521,117188.093891886,15.54200288135576,2.693648430001228,,4.3345569315811625,1227.5124286920782,1169.315542210374,,913.4156770116844
39,54911.60788845017,126874.02211636509,3,,3968,5375,2636,,,54893.134015115866,126910.41483526136,54958.45972816078,126882.23374992532,54883.22992207387,126829.41776390855,,132.6690044693836,158.87238448519423,112.65843325602444,,9011.814863755968,41678.68672080588,2344.322431493785
40,98040.25739532958,52800.90718563707,3,,7079,9641,5704,,,98109.91756439356,52838.61305367637,98040.48474915148,52811.756955847,97970.36987244368,52752.35154738786,,109.54459685397168,171.61653899566232,120.1793363482816,,9390.039764944906,100466.37188356186,6740.702235170392
