,x [nm],y [nm],n_match,C1_id,C2_id,C3_id,C4_id,C1_posX,C2_posX,C3_posX,C4_posX,C1_posY,C2_posY,C3_posY,C4_posY,C1_sigma,C2_sigma,C3_sigma,C4_sigma,C1_int,C2_int,C3_int,C4_int,C1_int_sig,C2_int_sig,C3_int_sig,C4_int_sig
9688,19008.30863302045,12117.744852749622,1,,,1152,,,,19008.30863302045,,,,12117.744852749622,,0.0,0.0,115.66880400362969,0.0,104.5663773255224,116.09011184074858,83258.62930435268,55.75037519408884,,,6.222956520923121,
9689,19090.7858217986,125709.72466157329,1,,,1155,,,,19090.7858217986,,,,125709.72466157329,,0.0,0.0,146.2137414572674,0.0,104.5663773255224,116.09011184074858,37058.37448672963,55.75037519408884,,,1.7334446738749105,
9690,19145.716814747382,5174.3401370752335,1,,,1156,,,,19145.716814747382,,,,5174.3401370752335,,0.0,0.0,115.22789428617929,0.0,104.5663773255224,116.09011184074858,65818.1557344842,55.75037519408884,,,4.9571317068984415,
9691,19116.779681908727,32141.991767202,1,,,1157,,,,19116.779681908727,,,,32141.991767202,,0.0,0.0,113.18064153651838,0.0,104.5663773255224,116.09011184074858,32374.1091558785,55.75037519408884,,,2.527280951883955,
9692,19127.75812864203,36761.80276336497,1,,,1158,,,,19127.75812864203,,,,36761.80276336497,,0.0,0.0,121.85469763596186,0.0,104.5663773255224,116.09011184074858,18767.632104412245,55.75037519408884,,,1.2639355487833248,
9693,19115.24228349919,48981.480985585185,1,,,1159,,,,19115.24228349919,,,,48981.480985585185,,0.0,0.0,106.17108171344148,0.0,104.5663773255224,116.09011184074858,111572.09663592804,55.75037519408884,,,9.897901100056844,
9694,19112.996495685897,56058.05852809914,1,,,1160,,,,19112.996495685897,,,,56058.05852809914,,0.0,0.0,110.12394844825062,0.0,104.5663773255224,116.09011184074858,24343.058847183827,55.75037519408884,,,2.00729683607299,
9695,19140.762366676427,59810.84553856567,1,,,1161,,,,19140.762366676427,,,,59810.84553856567,,0.0,0.0,93.71346049218285,0.0,104.5663773255224,116.09011184074858,17640.352024553245,55.75037519408884,,,2.0086455056945534,
9696,19185.79423260757,90142.05684521393,1,,,1162,,,,19185.79423260757,,,,90142.05684521393,,0.0,0.0,133.5969954825881,0.0,104.5663773255224,116.09011184074858,62176.01937242513,55.75037519408884,,,3.4836100258880593,
9697,19226.637999181574,9790.371635307041,1,,,1163,,,,19226.637999181574,,,,9790.371635307041,,0.0,0.0,124.89729678450195,0.0,104.5663773255224,116.09011184074858,28876.563549107166,55.75037519408884,,,1.8511407071428732,
9698,19181.63436832404,23620.373209704238,1,,,1164,,,,19181.63436832404,,,,23620.373209704238,,0.0,0.0,108.82099497727243,0.0,104.5663773255224,116.09011184074858,48300.026117126414,55.75037519408884,,,4.0787020453925535,
9699,19153.796479302357,40572.46858422893,1,,,1165,,,,19153.796479302357,,,,40572.46858422893,,0.0,0.0,143.17893165354832,0.0,104.5663773255224,116.09011184074858,127825.5383980935,55.75037519408884,,,6.235329316735112,
9700,19214.504380232433,112493.44832137687,1,,,1166,,,,19214.504380232433,,,,112493.44832137687,,0.0,0.0,124.67272261482756,0.0,104.5663773255224,116.09011184074858,55677.837297772785,55.75037519408884,,,3.582114552754722,
9701,19221.86191753955,123964.74382430088,1,,,1167,,,,19221.86191753955,,,,123964.74382430088,,0.0,0.0,138.42306662305185,0.0,104.5663773255224,116.09011184074858,43369.968688552806,55.75037519408884,,,2.2634566219743797,
9702,18832.128591482116,16393.55626509463,1,,,1137,,,,18832.128591482116,,,,16393.55626509463,,0.0,0.0,115.64642398261684,0.0,104.5663773255224,116.09011184074858,83352.0744116235,55.75037519408884,,,6.2323523231690965,
9703,18742.793566171058,45622.211752293464,1,,,1135,,,,18742.793566171058,,,,45622.211752293464,,0.0,0.0,125.95628055818187,0.0,104.5663773255224,116.09011184074858,154996.74052524674,55.75037519408884,,,9.769737841882776,
9704,18200.14223292905,52505.120025163014,1,,,1107,,,,18200.14223292905,,,,52505.120025163014,,0.0,0.0,152.26776463873694,0.0,104.5663773255224,116.09011184074858,166650.59258418294,55.75037519408884,,,7.1877161491403685,
9705,18703.76540078033,89386.2464929239,1,,,1134,,,,18703.76540078033,,,,89386.2464929239,,0.0,0.0,89.67923479894691,0.0,104.5663773255224,116.09011184074858,34962.4757023914,55.75037519408884,,,4.347287773231779,
9706,18104.947066536875,130885.17267881484,1,,,1108,,,,18104.947066536875,,,,130885.17267881484,,0.0,0.0,128.29721172779577,0.0,104.5663773255224,116.09011184074858,24937.430878601383,55.75037519408884,,,1.5150161878510822,
9707,18158.708549128132,90108.3428831058,1,,,1109,,,,18158.708549128132,,,,90108.3428831058,,0.0,0.0,109.01469464874792,0.0,104.5663773255224,116.09011184074858,190319.6855601432,55.75037519408884,,,16.014508937702065,
9708,18174.933118278866,105656.3694319106,1,,,1110,,,,18174.933118278866,,,,105656.3694319106,,0.0,0.0,111.54976886561876,0.0,104.5663773255224,116.09011184074858,44635.210574363366,55.75037519408884,,,3.5870731936443137,
9709,18147.3345442916,118442.9554427868,1,,,1111,,,,18147.3345442916,,,,118442.9554427868,,0.0,0.0,110.25048361225019,0.0,104.5663773255224,116.09011184074858,14776.459415863586,55.75037519408884,,,1.2156523080544013,
9710,18242.24292889456,18609.452516517067,1,,,1112,,,,18242.24292889456,,,,18609.452516517067,,0.0,0.0,136.87353113180902,0.0,104.5663773255224,116.09011184074858,28543.1466170549,55.75037519408884,,,1.5235717284839798,
9711,18186.433877186493,41023.22329256444,1,,,1113,,,,18186.433877186493,,,,41023.22329256444,,0.0,0.0,114.80015259058577,0.0,104.5663773255224,116.09011184074858,163716.69897334932,55.75037519408884,,,12.422472634898638,
9712,18222.963524410326,48578.426668229935,1,,,1114,,,,18222.963524410326,,,,48578.426668229935,,0.0,0.0,115.22945646532729,0.0,104.5663773255224,116.09011184074858,98984.19248706894,55.75037519408884,,,7.454848427843888,
9713,18232.40959690969,63157.893917380265,1,,,1115,,,,18232.40959690969,,,,63157.893917380265,,0.0,0.0,95.77304899004358,0.0,104.5663773255224,116.09011184074858,80659.5728638247,55.75037519408884,,,8.793652317710665,
