"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,1.0,236.47318298764012,30069.828783605863,121.95753846448353,19292.07090581993,1028.8456229043745,157.50490986858034,276.6645510197757,9.479980631144196
2.0,1.0,383.5973890371178,36770.97590086514,180.6208279934741,127919.16690604112,1645.1656973498923,497.40819347658123,1034.8555198902375,9.872977037459874
3.0,1.0,217.17050743489682,48867.218390982416,216.16877119818582,123347.70655838693,15.171643643546656,163.70495519435303,313.6394493320255,4.859757359562871
4.0,1.0,201.058035725987,108977.67275949389,119.50073013642098,71965.88572346435,946.9776134805277,446.88973713883223,1096.5890283332737,6.90720110886424
5.0,1.0,191.14090982670146,120963.01253416597,100.40892211531987,48905.16602863882,680.4680993365873,141.03101786204869,186.56759584887382,2.306472204604677
6.0,1.0,239.2077244323825,127691.73593360394,97.00292137386123,47570.809851485,813.9459202355528,280.33777732157296,648.4137836727244,4.333664289698047
7.0,1.0,362.53202726124437,12078.49414790051,148.29534614705048,31387.09829222987,994.0397890017371,242.99662835909356,524.7235331727296,13.260047112882916
8.0,1.0,230.91894573841367,48975.13355080791,282.22976894895277,200561.84622819108,2.963501657722756E-8,220.78300001650075,481.64204712295634,6.844472801244171
9.0,1.0,239.91532367773235,65042.39109425391,176.43413908567885,46847.72041198366,887.8544845499728,187.2622118711112,321.9720549661219,9.706024055579778
10.0,1.0,295.7850844053413,25686.153132419367,292.571892399749,237397.152173659,8.359503277486664E-9,182.26628807127616,305.30376033981145,5.1433782674385755
11.0,1.0,363.17150155765745,59259.32933399771,181.17032370330435,89494.40041228448,1362.2653035636197,295.07581446996187,515.5358047295173,8.433476110030913
12.0,1.0,359.0213989058842,62545.73693055568,199.90604810222376,87196.89296716821,369.06827254040286,142.40146353038128,216.61617610265407,5.117904292003602
13.0,1.0,331.8174617678715,84406.78945827998,197.01775441277087,57627.979887225905,371.0751188083486,121.24439169394405,192.49271817829643,6.400756523335128
14.0,1.0,365.72516966676716,86450.51772801492,71.38122290421354,5222.221260230331,668.0833766672424,118.32227494189365,261.1912625304455,9.030916883776499
15.0,1.0,446.1577209646771,34796.43378214208,113.22540822480242,12012.401707790343,777.7372545440913,113.27023698687103,188.10141168230314,9.453953201058036
16.0,1.0,432.6282194529766,36513.77466993276,143.9028260108161,143899.19845298794,1414.9092715245315,589.8370932799315,1398.8455022280311,6.608475804906523
17.0,1.0,501.75613068816966,40461.00289856073,128.92898663664107,33434.27638138968,906.8065606735936,248.05063767446183,571.9761903591084,9.611828102604992
18.0,1.0,439.2676455889008,66895.31283914865,155.48717362167937,27993.525230556377,957.9512105819609,118.56438457738183,139.5961507039479,8.013617099875898
19.0,1.0,414.0098599422055,25907.71543807229,180.2338566220048,47126.0983693409,760.9408683469121,158.5074781891479,263.3676410647402,8.533139065439796
20.0,1.0,493.96778014320586,29124.579712350143,118.91473427152519,15481.62000002747,997.0403064252946,150.4112754538273,263.2251927530995,10.721866455945875
21.0,1.0,530.4145834315557,77965.71855152166,106.1375861622415,28959.350320192283,1216.8253353789335,213.89514407376072,354.4293789985149,6.49804415057716
22.0,1.0,534.4087570736622,83462.953885736,134.1391925167047,44953.86580599271,720.8770184147545,216.24697967548593,420.8860376499138,6.757767066819074
23.0,1.0,514.9516842833984,117127.97189060797,101.77527520275244,54280.53028701571,827.8143006743975,194.34363064166934,327.0675690773228,2.916519423837904
24.0,1.0,411.4940763688899,127820.03963721194,142.02997570420914,48902.96459997363,622.5759589811641,454.6515204231262,1253.2457545064663,14.591235782369667
25.0,1.0,583.5482452275417,12639.63544273132,163.98358054074774,56487.50064709083,933.0242118272162,188.4505237632936,347.86911157294503,7.007270323866958
26.0,1.0,546.9126597105142,14114.194275370359,128.18538659127512,16508.929781495095,541.7132933124992,96.21438545474543,157.08269314410754,7.511137836448407
27.0,1.0,570.147700732727,40629.811599426714,151.2548983981701,49317.886856972975,1078.7571040184619,318.3046337856015,873.2256884581739,11.497213390436853
28.0,1.0,582.2786546683258,87904.29697731303,119.2993374507196,28169.202330843655,892.0500357840376,144.78056481126373,235.5627453993216,5.730877595663209
29.0,1.0,525.8216066472925,107296.78272195935,136.49568165296947,33766.507901189434,563.8050987003611,158.2618076422146,285.7214153865091,6.82843714980721
30.0,1.0,569.4718975148451,107607.36361149166,103.25658430533653,32853.73968769371,896.8687344748473,136.62385859458044,198.5257999550169,3.494453990598784
31.0,1.0,562.319620884966,112166.45812126259,106.16220949870585,19601.69291029365,588.6926520893134,122.1808233766624,227.8669036897124,5.514216476492185
32.0,1.0,576.8482948545274,63207.563792943634,163.79959792075516,60041.90772589824,708.1576851769285,213.06761615826935,432.23034468470036,7.430810982964889
33.0,1.0,647.7352334276718,75655.16047179872,142.69707882743074,29062.329765669107,917.6034049133698,118.4862003453815,143.9058396297578,6.507478637090255
34.0,1.0,575.6490308047917,105087.45462549002,96.7626621696104,33694.949488600825,863.5842191246907,183.8515937350733,358.093018215923,4.006924895269398
35.0,1.0,620.4301112091357,116599.74883718754,100.84146327321496,42106.08682301086,761.1245849406646,135.86425748561766,183.4879239725737,2.598845752995198
36.0,1.0,637.445648011208,124843.00220534079,130.08399040607273,31836.021574388782,514.8667262588436,140.76799143249357,260.09948878351423,5.8620297518691915
