"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,1.0,220.57448154206423,13196.436014308641,87.92983359744125,9102.786927525687,1475.6268322505653,129.99001991249852,135.88072057217352,8.63315382874627
2.0,1.0,218.02999347020062,23104.62196436518,125.32564876469112,28539.57269391,1135.4773053967008,206.35522834934326,369.6621118196438,8.85870375497232
3.0,1.0,210.9854140108773,35141.07071506477,119.83092705370397,19346.683396575925,903.4527868851135,144.0763762891971,238.41637362837997,8.357196149521453
4.0,1.0,289.47559178403634,38572.10906181949,240.05498043539626,121956.97632080747,473.8429958406536,161.23805946514045,235.58671667735618,5.9616498639656355
5.0,1.0,270.537833429915,40391.94348141436,136.23795827169346,18881.049494741615,609.4358723642503,109.9738806303822,190.17017235254173,8.462097921165665
6.0,1.0,195.28133045501474,100991.49027007852,123.07796134294149,38464.89484647291,663.5429160286607,139.18675795800863,204.24998884556058,4.307453661438495
7.0,1.0,225.97414509295177,109118.2625151422,170.5715138029214,55156.361182964996,736.6467673615141,166.89531199756158,272.2314851106314,6.881503008654376
8.0,1.0,204.0339229371106,115929.27670272841,107.53686777856876,60164.58954163337,718.890117685241,137.91899224556226,165.24254566201648,2.1079249737217967
9.0,1.0,296.5899960536314,120269.49233837609,179.83813386319912,47685.790366762805,321.80579282705196,131.30980855031234,244.20814552493928,6.971345914543752
10.0,1.0,267.9369789749398,121389.84960295822,143.80871720335455,78361.18460080403,535.2870409526952,207.43898681056572,319.30871196920253,4.286615668638019
11.0,1.0,278.8481751249437,123834.73542253507,142.58990895180943,34153.17078355778,521.8072900630497,171.7905670753578,333.7088657800615,7.986876734415167
12.0,1.0,227.91684886858295,130623.25453590413,122.42175151056347,42861.717779130384,338.1775711922807,118.25557478199836,199.13987318809416,3.269061691906798
13.0,1.0,309.35415596168946,25527.20906450091,136.15146805696506,60158.20164422996,1528.1397284804946,306.04331406937274,485.88034237127374,7.351195126632255
14.0,1.0,264.20401659979666,84971.84504219254,110.28420689377278,12039.264666501462,656.353157533025,140.5348935335128,336.8250455146792,11.081947305412761
15.0,1.0,272.4599066449051,87161.27949065347,126.28572165689913,31759.87409033935,650.0495184346476,131.41047936814996,192.71918164674975,5.178625041187946
16.0,1.0,156.59437548267283,88409.03878347321,168.70993757569707,98258.8144039703,1249.278786931792,424.4037206375465,900.8182993322599,9.57073732101439
17.0,1.0,259.2905701696797,96820.20136528311,151.30435182219986,53298.22100150519,526.3995838366463,129.09522173486795,184.1313868004685,4.3601258577268345
18.0,1.0,324.9563152739074,99147.50595373547,104.6111584797123,37266.33373795606,771.3615158923102,149.4374595265853,208.1516247792946,3.454947966493065
19.0,1.0,239.02958576421946,122315.66709437643,136.6366212419783,77375.35825918897,455.93028420638734,255.90230077379033,514.9191356725369,4.824705238587242
20.0,1.0,297.648837033579,126413.57923893367,114.35319625236002,103658.44770191732,796.6429118316071,174.1578175428226,174.92992014774282,1.745140086103872
