,id,frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon],chi2,uncertainty [nm]
0,1.0,1.0,205.34491389873145,28733.171860849245,166.16405137725084,12611.978378751533,359.0816903019194,50.92927839614186,63.99237140851038,8.792966836468455
1,2.0,1.0,184.4826037106593,35173.09610131666,142.20872675755845,5643.406430995194,363.9845301519009,40.74354196571762,55.39948816852373,11.507757987055427
2,3.0,1.0,307.3970885878727,51981.9342868004,189.909690505944,12558.355006876232,342.6818398201304,52.55853660350271,76.53753052717053,11.854737108007978
3,4.0,1.0,146.4841945439682,80930.18485539987,138.4369198341517,3346.1563296311547,410.03963567317146,39.594854649411786,42.69056685228463,17.79075422293667
4,5.0,1.0,343.4224612563455,9073.294872729293,134.0998053302543,4991.732967609892,413.75760005368386,37.296090057609426,36.847146513152936,10.617429654133518
5,6.0,1.0,328.84167985554564,74309.84800038589,125.91906308494585,7553.48453742856,464.873624494866,48.37756363743296,52.8513240602472,8.027690011077695
6,7.0,1.0,326.0530900950883,98052.35995038266,369.7053550813679,94706.66776898188,109.22471154944193,34.350179483445324,30.80198380627209,4.036574021585364
7,8.0,1.0,281.56138803302457,98248.68377560168,131.97007189541293,2688.080655291757,474.8811213633722,45.70175807429178,54.397127473987,23.157626245983817
8,9.0,1.0,380.4603903070758,7757.917717698409,129.93015384293582,6302.315814568722,445.83391588154564,53.67267456732127,71.46302726373403,11.296285376591294
9,11.0,1.0,432.74534740417886,23019.10536457647,141.6493377244563,4392.139970118259,380.6752872063452,36.50557737857646,40.21270344118639,13.140050472964948
10,12.0,1.0,482.17680884945577,37541.98045605491,435.1335722374002,117788.30955399865,105.81068525798621,45.914190065108826,57.5403924535606,5.875229516300513
11,13.0,1.0,352.0892886006804,46810.9675550614,274.71043528464804,24991.38172786748,291.4271041602432,40.608136130530696,48.500495930707714,9.688722925725337
12,14.0,1.0,362.3780596155567,80172.48167568081,110.37884384635544,2295.0302414219573,394.36321924841815,35.9732056235243,40.01133800716193,15.025821094574738
13,15.0,1.0,526.724824800285,6613.6620083848575,226.6125981609329,13654.593955096232,336.7821888479215,40.33370022561639,46.222477376945754,11.949593807553232
14,16.0,1.0,439.25346059224955,54207.97294541314,190.97490012956055,11280.009259554097,359.7597498913608,45.84293271782179,59.43122498217143,11.661416172403493
15,17.0,1.0,496.5953542091011,59375.1434416021,37.18902209180171,470.9498731946943,421.06790831060397,36.739629958393394,43.9785063141138,8.602103191662366
16,19.0,1.0,583.9247416605145,48320.37628973075,124.3861638851974,3410.1926081273964,428.2210906564325,42.723161197947896,50.38390526068802,15.218851451347561
17,20.0,1.0,598.5349808789168,421.65383200497405,131.83360914808034,3564.7168665096992,400.2093756442957,43.91785704587634,54.69590515936625,16.791618426829146
18,21.0,1.0,621.2854909796058,960.1173348085068,108.27564795365795,1794.8853784338178,407.4329099044191,38.51355841620715,45.54363066006969,19.72355961887723
19,22.0,1.0,656.6988876211283,25409.39356560336,117.48984782118114,2491.2865660095426,403.03148779901016,39.908923062953356,44.314765892347395,17.351734900610488
20,23.0,1.0,701.0403615020163,35738.835609321344,121.6837383005355,3244.937062405764,394.69453011048256,33.35295188017391,33.871460886361554,12.02491428745385
21,24.0,1.0,724.0029150401118,78161.52842055677,181.8976204467982,10061.211378821428,402.8572819172822,41.64337099721203,45.1734375217364,10.799089864602523
22,25.0,1.0,751.9376013981787,5773.622580489888,142.76798326365662,4386.177684852425,399.5834512602751,43.877756714499796,56.41999712398941,15.996613642995296
23,26.0,1.0,823.0467967438389,7232.720909513921,109.34787564598166,3264.9976302823993,409.5912604755612,39.02931786037046,40.49275025903068,11.277686268979515
24,27.0,1.0,770.6477683184658,48875.56422509936,118.27911920237436,3508.2007513704602,404.3660789758247,36.75422677135313,38.86568252292851,11.56995359422207
25,28.0,1.0,856.7829006761364,85810.45445719974,147.1544351947535,3941.0740208060797,391.506033422248,37.70376352604927,42.56423814801929,16.27432327113293
26,29.0,1.0,890.3251324557873,10049.382875158555,115.58437445302944,5449.01107602118,404.60180993234144,41.439849833066575,51.174422801639096,8.054631740849025
27,30.0,1.0,838.9844042598261,37856.5641060105,110.45241515315891,2263.2027617690765,439.25199065949545,40.53093474442744,48.06882980610818,17.143862418167448
28,31.0,1.0,1016.9419968087046,8158.610277555699,228.41638999544847,41871.113028029715,249.3413130195796,56.952333316722715,68.81370545381333,5.6283965395318365
29,32.0,1.0,978.4579827357351,36816.486531108836,148.7249409323526,3305.582508114067,442.7540955033835,42.10538453957581,49.77980023819664,22.053286716383123
30,33.0,1.0,906.3590897406367,57384.33328616553,334.7139831310092,79621.888320829,110.27275308668509,38.94640505362287,38.608048467972274,4.421927574506811
31,34.0,1.0,1002.6165973465753,2233.9299093249333,151.81155017895782,6554.072280089605,359.17208265546134,36.963918329036225,40.49134462230533,10.277813571244307
32,35.0,1.0,913.9274427877367,84073.18734967196,165.1495298262293,6478.263891230873,382.1077773763186,40.63845088457871,45.65899685812197,13.457571104403453
33,36.0,1.0,1110.3773831698863,15056.158948762168,106.4931398910915,2201.3810613615487,431.11936609627014,43.590843168278596,54.54066685618122,17.605773765082628
34,38.0,1.0,1081.641105680511,73968.9330001505,377.50842046690667,114887.2664886679,4.4930138398909416e-08,37.58716446405283,41.85331348993864,3.7916256614471857
35,39.0,1.0,1078.9948097138183,77540.62646206838,186.0126262745248,8440.76374973886,414.3766959598709,47.319550585663634,63.02026246021997,15.213307349689245
36,40.0,1.0,1043.8117005501256,102933.97526712564,406.05803518803253,143467.33695183668,2.659953978064893e-08,44.80455219163779,52.51717352949722,4.143644788500622
37,41.0,1.0,1145.7776168055616,10808.965435367785,152.529067880243,7636.365751516853,340.82082355125664,35.41998135950434,39.95495184769004,8.569737599580138
38,42.0,1.0,1140.8326376327757,20227.25496702281,115.47107625284906,2296.271843944316,395.54114772869036,34.54801276320732,35.928532992442314,15.78205292032045
