"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,1.0,246.0500576562815,19184.88453949293,199.3882941086729,12323.029412662198,209.60052069115554,40.8860648255912,62.66170131795538,10.409707374167395
2.0,1.0,200.1768521418917,29610.224228396935,157.8759016325079,15746.527032900412,323.3458565078198,82.18697331624683,167.83392564828438,10.190424189581119
3.0,1.0,237.54929641277786,37344.5262728733,103.25671365041688,1796.5358194054793,301.4132876109719,37.459384215483794,60.29030143906885,17.455532490565542
4.0,1.0,282.72497797607025,48642.91237536388,143.4223641570214,4501.224171774528,271.6572750428482,43.804139598542285,75.50438263366661,15.707507668045318
5.0,1.0,227.25825626126098,70085.17745500122,88.70468961456079,2244.542813538895,337.48106720761353,48.338177166407036,83.69411313953032,13.309129475553451
6.0,1.0,191.36381849022607,102697.84350617451,108.61220944959692,5373.93584955006,426.4985308642074,59.32962105723718,85.28345457613803,10.233710748040258
7.0,1.0,184.1610878632818,106650.51379483062,240.63947262133536,39334.288702490296,168.7197748837039,54.4091086172135,79.33688809324269,6.343612770599957
8.0,1.0,180.24037415806242,106806.22124347008,176.89189974278653,13531.323994182907,299.525424016251,55.46224011819648,80.90209962878612,10.085169321323981
9.0,1.0,264.8795523318228,128126.68724739001,184.33402832706727,13499.141078571049,260.513961658628,44.82353553988469,60.13395284909949,8.913229349940355
10.0,1.0,282.6930901331044,10091.059598090953,116.39699712009346,8822.955144095838,357.06654791212753,44.718738280856,51.78175354856845,5.482820704098075
11.0,1.0,300.8232517833889,40215.42087029736,111.79093522360932,4034.897376459936,301.4296642037132,43.506914596610684,73.68385962655312,10.624552625558604
12.0,1.0,281.8908872845443,41213.7973272809,251.7323635727424,52262.61441585315,5.030925970146574E-14,54.27864178645754,84.08780612238083,5.233168372689498
13.0,1.0,281.0058489889981,82450.24072602832,109.61197689420779,3712.6232434122767,330.5805638331711,38.54953821179308,53.96671541414941,9.8666858717984
14.0,1.0,277.5510511843048,87178.32407127859,115.3672086481934,4991.558998780858,315.770692077638,48.85209007636431,82.96136401254086,10.25868372297977
15.0,1.0,322.60099861388375,89643.99366647398,145.84308399245427,6865.246000181407,302.62599963040395,47.60581102841044,75.03163542854233,11.600507964391047
16.0,1.0,366.0558323852304,3434.237710817092,223.15445671705757,42641.46559640288,72.61335648148652,45.407088300183695,56.14809490293731,4.261843869559156
17.0,1.0,278.4263880854563,16807.23938736063,132.48581565291406,4346.442665003067,283.8516432204021,46.75190140850101,84.2473579680976,14.814184319001855
18.0,1.0,386.3924022476745,30548.61796476389,114.67968750830345,16001.088617542538,341.1553681153139,57.12714249984702,70.5606034726705,3.763241268242897
