Distance_(pixels),Gray_Value
1868,15598.777
1869,14605.704
1870,13330.741
1871,10637.407
1872,7570.185
1873,4917.593
1874,4631.778
1875,4488.148
1876,4371.296
1877,4638.185
1878,5102.111
1879,7762.074
1880,6764.704
1881,7113.111
1882,6280.852
1883,6221.629
1884,6836.778
1885,6702.704
1886,5211.481
1887,6678.000
1888,4831.481
1889,6293.629
1890,6563.778
1891,7173.111
1892,11496.667
1893,13549.037
1894,16768.777
1895,19782.408
1896,22664.148
1897,23568.777
1898,24896.777
1899,24499.148
1900,21826.445
1901,19381.408
1902,15682.926
1903,13198.593
1904,14251.444
1905,15741.223
1906,19093.482
1907,22267.963
1908,25273.148
1909,26964.000
1910,27885.000
1911,27910.037
1912,25727.777
1913,24244.703
1914,22774.371
1915,25478.037
1916,26779.408
1917,28703.889
1918,30560.963
1919,31946.186
1920,30696.334
1921,28820.814
1922,26717.371
1923,24080.223
1924,23713.297
1925,22657.260
1926,22736.963
1927,22268.297
1928,21413.666
1929,22846.740
1930,22645.629
1931,22878.555
1932,24705.482
1933,25279.777
1934,26348.852
1935,25416.334
1936,25224.000
1937,23752.037
1938,20525.592
1939,18036.814
1940,14523.074
1941,10906.704
1942,9413.630
1943,7418.185
1944,6590.111
1945,6668.926
1946,7823.037
1947,8201.481
1948,7034.852
1949,6361.963
1950,7269.519
1951,6542.593
1952,9441.889
1953,10417.926
1954,12930.630
1955,14578.593
1956,14958.814
1957,13097.259
1958,14122.963
1959,14507.111
1960,13858.963
1961,14268.296
1962,15316.037
1963,14692.296
1964,13965.777
1965,13438.556
1966,12876.370
1967,12737.704
1968,13406.667
1969,16367.519
1970,20129.926
1971,21739.482
1972,22469.186
1973,22738.629
1974,20465.371
1975,16097.333
1976,14310.777
1977,13478.519
1978,12642.556
1979,10168.074
1980,9322.444
1981,9443.852
1982,10565.148
1983,12553.630
1984,15756.037
1985,18443.111
1986,19991.445
1987,22005.186
1988,21694.148
1989,19855.814
1990,16980.629
1991,15988.037
1992,15035.259
1993,14523.556
1994,14121.444
1995,14493.852
1996,15766.741
1997,14600.296
1998,16092.852
1999,17303.703
2000,18827.000
2001,18789.408
2002,18977.703
2003,15928.074
2004,17232.334
2005,15426.814
2006,15290.556
2007,14964.148
2008,13891.000
2009,11165.889
2010,8083.481
2011,8402.000
2012,6760.963
2013,5106.481
2014,6853.741
2015,8524.630
2016,13697.519
2017,14054.296
2018,14583.926
2019,15021.777
2020,13410.370
2021,12812.148
2022,10421.148
2023,9423.259
2024,10386.444
2025,12874.481
2026,14072.407
2027,15709.444
2028,16272.704
2029,16807.926
2030,17417.445
2031,17928.297
2032,19231.074
2033,16744.111
2034,15713.370
2035,12387.259
2036,7629.926
