Distance_(pixels),Gray_Value
454,25475.111
455,25447.260
456,26424.629
457,29650.889
458,30255.334
459,28295.592
460,26330.000
461,23498.889
462,26766.703
463,30068.111
464,31082.111
465,32338.334
466,31808.555
467,30363.000
468,30256.371
469,27580.814
470,25721.074
471,23906.740
472,21800.186
473,19706.371
474,18700.852
475,19087.000
476,20429.260
477,17574.703
478,16305.926
479,15831.889
480,17583.445
481,19696.482
482,22260.666
483,21521.111
484,21185.555
485,22441.852
486,24067.814
487,27552.074
488,29587.703
489,31107.889
490,31161.963
491,29032.037
492,26067.074
493,22273.482
494,19748.629
495,21389.371
496,25321.297
497,27860.111
498,27951.111
499,26011.186
500,24480.592
501,22090.555
502,19835.852
503,22074.371
504,26047.963
505,28240.629
506,29743.777
507,29553.482
508,30301.334
509,30902.371
510,30612.371
511,29863.260
512,33332.148
513,39257.074
514,44496.629
515,47113.406
516,45515.406
517,41990.148
518,34389.703
519,27416.889
520,21001.260
521,17009.926
522,13697.667
523,11862.148
524,9107.223
525,9368.741
526,12223.111
527,11872.223
528,15244.037
529,18240.703
530,22605.518
531,27553.629
532,31082.926
533,34685.445
534,35873.184
535,33865.297
536,31715.371
537,28860.111
538,27032.297
539,26161.297
540,25135.371
541,23866.037
542,21725.963
543,17222.963
544,11047.111
545,7717.222
546,8558.852
547,9357.963
548,9677.741
549,10699.148
550,9870.186
551,9969.593
552,8465.407
553,10243.370
554,10594.519
555,12102.111
556,13504.741
557,17961.371
558,20623.852
559,23019.740
560,25456.260
561,25217.334
562,24143.223
563,24434.482
564,24861.666
565,23847.777
566,23618.037
567,23705.592
568,23853.926
569,24569.037
570,28410.852
571,33064.406
572,35574.148
573,35543.445
574,36975.074
575,38281.555
576,38432.184
577,39826.445
578,41128.074
579,40430.297
580,38756.742
581,39233.629
582,35186.035
583,33888.148
584,30236.000
585,28288.074
586,29590.186
587,29500.592
588,30894.852
589,32467.408
590,30349.889
591,27468.482
592,22540.223
593,17663.445
594,17347.000
595,16342.777
596,17561.889
597,20567.037
598,21861.260
599,23325.852
600,23390.518
601,23896.445
602,24071.186
603,25045.037
604,25707.777
605,28151.186
606,30002.889
607,33516.184
608,37230.184
609,37943.852
610,36362.852
611,33217.371
612,30431.223
613,25356.666
614,23068.223
615,25168.703
616,26675.592
617,27379.074
618,30161.260
619,29627.334
620,32873.629
621,34147.109
622,35324.777
623,34780.223
624,35622.777
625,36914.777
626,36930.406
627,36551.035
628,33519.109
629,31816.482
630,30689.148
631,28970.963
632,30948.703
633,31712.148
634,31056.555
635,30303.740
636,29913.482
637,27752.408
638,24200.260
639,24801.777
640,26774.740
641,27530.592
642,24942.703
643,22470.814
644,17190.074
645,11729.037
646,8608.889
647,8470.963
648,8871.963
649,9263.111
650,8568.814
651,8751.111
652,8411.444
653,11129.593
654,12953.333
655,14887.111
656,15546.926
657,14065.037
658,12959.519
659,13661.111
660,16433.740
661,18209.148
662,20025.445
663,21194.777
664,19588.334
665,17518.777
666,15788.444
667,16269.333
668,19824.555
669,20526.814
670,20920.963
671,18093.000
672,17712.518
673,16487.814
674,19484.592
675,20377.111
676,18365.111
677,21961.963
678,25974.408
679,28964.740
680,31513.148
681,35093.297
682,38862.668
683,38864.629
684,40159.074
685,38496.332
686,36670.258
687,32316.445
688,29495.037
689,25829.334
690,23894.334
691,25527.963
692,25644.963
693,26688.592
694,26115.371
695,24622.111
696,22619.074
697,20115.814
698,20971.666
699,18049.518
700,15360.926
701,14819.704
702,13029.889
703,10927.444
704,8351.223
705,7425.074
706,6426.037
707,9804.259
708,7924.815
709,8999.963
710,9485.037
711,12467.889
712,16711.148
713,18273.852
714,21101.814
715,21214.740
716,19371.186
717,19784.037
718,21972.889
719,26671.555
720,31387.629
721,38220.406
722,41855.258
723,42773.109
724,39015.555
725,34448.852
726,29222.297
727,26175.889
728,29328.666
729,33003.629
730,35529.926
731,38506.594
732,38265.926
733,35668.520
734,32001.037
735,28490.408
736,27318.703
737,27476.852
738,26003.223
739,25129.223
740,22768.963
741,23828.926
742,25673.963
743,28188.666
744,27972.371
745,26969.814
746,27565.814
747,31387.889
748,34957.297
749,36251.297
750,37904.332
751,36452.668
752,35592.184
753,35404.965
754,34191.109
755,30740.963
756,25899.852
757,19265.518
758,15281.407
759,16636.777
760,20403.482
761,21793.223
762,24968.186
763,27491.814
764,31133.555
765,36174.184
766,40073.668
767,41753.703
768,41109.816
769,37639.703
770,34082.332
771,30580.518
772,26268.371
773,23390.518
774,21470.666
775,18200.740
776,20555.852
777,22653.223
778,22139.408
779,20957.223
780,17344.371
781,15563.704
782,17849.148
783,20554.889
784,25434.777
785,28074.555
786,26396.186
787,26447.037
788,29227.629
789,32097.555
790,34010.668
791,34431.520
792,34897.594
793,32278.148
794,28038.371
795,24161.592
796,18329.445
797,17920.889
798,17737.445
799,19652.666
800,22288.814
801,24089.703
802,25081.334
803,26172.445
804,26028.445
805,28808.889
806,29841.111
807,31357.223
808,31515.445
809,30615.111
810,30643.297
811,31678.000
812,34655.816
813,38684.520
814,43780.926
815,47164.891
816,46529.891
817,44622.852
818,41576.035
819,36013.891
820,31998.889
821,27886.482
822,25655.814
823,25630.555
824,25630.445
825,29400.555
826,33344.332
827,34275.703
828,33426.074
829,31020.963
830,25828.148
831,24320.889
832,23981.445
833,25939.814
834,26708.740
835,27527.777
836,29125.371
837,33086.406
838,33988.555
839,34187.000
840,32459.814
841,28911.889
842,24819.555
843,21515.223
844,18178.703
845,15573.074
846,12570.370
847,13978.407
848,15153.926
849,19276.148
850,20132.963
851,19712.666
852,19908.889
853,19773.445
854,20685.371
855,24687.666
856,26768.889
857,29188.334
858,29863.629
859,28443.963
860,25119.297
861,23288.777
862,23124.148
863,19778.666
864,17231.445
865,20112.186
866,21883.445
867,24649.852
868,26406.371
869,30000.777
870,33516.668
871,36073.926
872,36533.594
873,34134.891
874,30779.408
875,24828.445
876,19924.592
877,16783.814
878,18262.445
879,19270.074
880,18227.334
881,19158.297
882,17611.297
883,19508.518
884,22736.703
885,25173.555
886,24281.334
887,20454.186
888,19045.814
889,20621.074
890,22249.111
891,26391.074
892,27193.111
893,32562.777
894,37635.035
895,38584.777
896,40692.520
897,41415.852
898,38929.480
899,34951.594
900,32972.184
901,32082.518
902,31982.555
903,32896.965
904,34355.445
905,35082.371
906,34428.258
907,30485.740
908,24128.482
909,18729.371
910,14898.630
911,13756.407
912,14370.852
913,15719.259
914,16831.852
915,17960.408
916,18002.334
917,16781.592
918,17179.037
919,13448.667
920,13595.889
921,18933.777
922,21468.408
923,23085.740
924,24388.592
925,22673.074
926,23105.260
927,21226.074
928,21479.371
929,19619.777
930,20434.111
931,22183.889
932,23753.186
933,25355.926
934,27669.408
935,26150.963
936,24099.148
937,22369.148
938,18604.074
939,21150.260
940,18706.629
941,19119.852
942,23016.482
943,27450.297
944,31150.037
945,30888.629
946,30837.703
947,27241.445
948,24801.037
949,23530.555
950,24287.148
951,23669.852
952,21916.666
953,19499.666
954,15189.481
955,14622.556
956,16821.926
957,18139.963
958,20331.260
959,24480.297
960,29785.334
961,32324.260
962,34205.445
963,35552.223
964,36602.371
965,37801.297
966,37955.445
967,37128.371
968,34403.777
969,31486.740
970,29514.926
971,29571.223
972,29570.777
973,32059.963
974,33239.148
975,33605.223
976,32147.074
977,31770.408
978,32028.666
979,30731.852
980,29513.777
981,25572.074
982,22269.074
983,16758.037
984,14379.444
985,12693.444
986,11385.519
987,14517.741
988,18656.703
989,22930.777
990,26652.000
991,28061.371
992,26147.260
993,26761.777
994,24779.260
995,22947.000
996,26129.703
997,29297.260
998,30091.852
999,32473.555
1000,35061.332
1001,37393.668
1002,36829.777
1003,33313.777
1004,30362.334
1005,26967.186
1006,23877.074
1007,22593.371
1008,19283.926
1009,18470.592
1010,17863.148
1011,19743.371
1012,20104.371
1013,18199.260
1014,17467.223
1015,13659.259
1016,11847.037
1017,10143.000
1018,14277.111
1019,14579.889
1020,17940.555
1021,19942.371
1022,24858.889
1023,25299.037
1024,26311.074
1025,25171.408
1026,22699.777
1027,20150.186
1028,19272.926
1029,22109.629
1030,21886.111
1031,25199.963
1032,31629.555
1033,36356.371
1034,39865.594
1035,37966.109
1036,34434.258
1037,28751.963
1038,25047.334
1039,23999.482
1040,23906.926
1041,23791.740
1042,26900.777
1043,31858.371
1044,37622.816
1045,38614.406
1046,37480.371
1047,34721.406
1048,32623.926
1049,36524.258
1050,39583.074
1051,41551.406
1052,41217.703
1053,38534.594
1054,34013.148
1055,31253.666
1056,31413.186
1057,32198.408
1058,31147.000
1059,33777.891
1060,35326.148
1061,36885.480
1062,36461.965
1063,36712.406
1064,36235.742
1065,36371.332
1066,36056.258
1067,33219.035
1068,28075.371
1069,23897.629
1070,23793.963
1071,27668.148
1072,31784.223
1073,32600.408
1074,35096.777
1075,39039.371
1076,41825.926
1077,43393.074
1078,43504.703
1079,40333.777
1080,35013.555
1081,31920.000
1082,29643.703
1083,27108.148
1084,27870.260
1085,29017.926
1086,28675.666
1087,30712.223
1088,31502.592
1089,30339.260
1090,31421.111
1091,32517.074
1092,32986.406
1093,32300.592
1094,32303.629
1095,30347.666
1096,25766.445
1097,23410.371
1098,16474.555
1099,16817.740
1100,18166.629
1101,16520.777
1102,16213.667
1103,18241.408
1104,19267.963
1105,23586.408
1106,24562.740
1107,25983.371
1108,30307.889
1109,33944.703
1110,39081.594
1111,42378.184
1112,43475.371
1113,42574.816
1114,39235.000
1115,35127.777
1116,31227.852
1117,25709.260
1118,21303.223
1119,17328.592
1120,15327.814
1121,17735.926
1122,17934.703
1123,18220.740
1124,20211.223
1125,18720.777
1126,19708.592
1127,18301.852
1128,16922.629
1129,16113.370
1130,19953.186
1131,24068.852
1132,27055.629
1133,27983.334
1134,30082.408
1135,31528.555
1136,34535.332
1137,33398.000
1138,33841.703
1139,31858.889
1140,29904.111
1141,28318.852
1142,31598.000
1143,35459.184
1144,36963.223
1145,36916.297
1146,35552.332
1147,29253.963
1148,22283.629
1149,15006.407
1150,12768.481
1151,11917.630
1152,11443.407
1153,12164.037
1154,16362.296
1155,18857.223
1156,21284.111
1157,23259.666
1158,25644.518
1159,27682.852
1160,27875.074
1161,28811.371
1162,28210.186
1163,26256.482
1164,26937.408
1165,25007.371
1166,24405.000
1167,23844.852
1168,23862.260
1169,23957.148
1170,26339.148
1171,29018.852
1172,28194.852
1173,25139.297
1174,24054.555
1175,22283.703
1176,20407.963
1177,21704.297
1178,19196.223
1179,16609.889
1180,12903.111
1181,10480.963
1182,8946.444
1183,9001.814
1184,9532.556
1185,10460.556
1186,12264.333
1187,14643.556
1188,21090.592
1189,26315.111
1190,30848.629
1191,32205.000
1192,27401.408
1193,22393.777
1194,18709.297
1195,16547.408
1196,16791.777
1197,17029.703
1198,19595.518
1199,21355.148
1200,26282.889
1201,27445.297
1202,28207.555
1203,26977.148
1204,25039.482
1205,23878.482
1206,25952.037
1207,28421.629
1208,27940.629
1209,27557.148
1210,26302.445
1211,23017.371
1212,21135.777
1213,20944.814
1214,24159.666
1215,26226.592
1216,30028.445
1217,31201.740
1218,30290.814
1219,29966.518
1220,26080.963
1221,27141.889
1222,28454.666
1223,32771.258
1224,35931.332
1225,35626.852
1226,32970.371
1227,31875.518
1228,30094.334
1229,27065.445
1230,24116.371
1231,23156.703
1232,23041.297
1233,21786.297
1234,22303.111
1235,22496.000
1236,20799.777
1237,20137.666
1238,18979.408
1239,18932.592
1240,16327.186
1241,11870.630
1242,12705.963
1243,12717.777
1244,15758.704
1245,18728.334
1246,20260.814
1247,19339.223
1248,16911.518
1249,12975.111
1250,11172.000
1251,12401.259
1252,16266.223
1253,19009.000
1254,23260.074
1255,22432.592
1256,17918.186
1257,14772.667
1258,11365.852
1259,13638.667
1260,14630.259
1261,14514.926
1262,12619.667
1263,9588.407
1264,7091.371
1265,6128.444
1266,4687.741
1267,5631.222
1268,5473.259
1269,4029.778
1270,6239.148
1271,6509.481
1272,6915.407
1273,8824.037
1274,11274.741
1275,13025.963
1276,18455.260
1277,22597.371
1278,26896.408
1279,33142.445
1280,36142.668
1281,35774.742
1282,33855.406
1283,31719.408
1284,28102.037
1285,26765.260
1286,26246.852
1287,27068.592
1288,27704.666
1289,27620.740
1290,25076.814
1291,22288.926
1292,24882.740
1293,26648.074
1294,27962.000
1295,29507.555
1296,31090.223
1297,32200.592
1298,31259.297
1299,28042.555
1300,24335.889
1301,21367.926
1302,17648.074
1303,16582.148
1304,20475.371
1305,18472.297
1306,20758.482
1307,20003.629
1308,21112.852
1309,21404.889
1310,21182.703
1311,15941.148
1312,14679.259
1313,11141.037
1314,13703.481
1315,15226.667
1316,18296.074
1317,20153.371
1318,18601.186
1319,18125.592
1320,16753.223
1321,17016.555
1322,17186.037
1323,16733.777
1324,17366.037
1325,18009.445
1326,20264.889
1327,20083.703
1328,19307.074
1329,18498.740
1330,18708.889
1331,17159.111
1332,13950.963
1333,15589.519
1334,16463.777
1335,20405.518
1336,23922.482
1337,24925.111
1338,24391.111
1339,22669.148
1340,20833.629
1341,20688.111
1342,20913.852
1343,22338.445
1344,23485.260
1345,25965.814
1346,24543.555
1347,23851.074
1348,23290.148
1349,23536.334
1350,23149.666
1351,24265.963
1352,25685.777
1353,25033.666
1354,25790.297
1355,26689.223
1356,29299.111
1357,28198.852
1358,25670.518
1359,21177.889
1360,18772.186
1361,17452.148
1362,16678.963
1363,16882.482
1364,19710.518
1365,22924.037
1366,24104.629
1367,22361.926
1368,22294.260
1369,20033.592
1370,21725.926
1371,27507.777
1372,31852.297
1373,34700.371
1374,36545.777
1375,35917.777
1376,35275.852
1377,34749.668
1378,32270.371
1379,28963.518
1380,22518.814
1381,19261.260
1382,17643.148
1383,16761.186
1384,19522.814
1385,23737.518
1386,28470.482
1387,29272.889
1388,30254.852
1389,28112.445
1390,29223.740
1391,28286.334
1392,28899.000
1393,27868.445
1394,28057.148
1395,25025.740
1396,23175.148
1397,22837.260
1398,21097.482
1399,19403.703
1400,22735.037
1401,26006.186
1402,31136.666
1403,33199.371
1404,33978.184
1405,32329.111
1406,30486.445
1407,28392.963
1408,24209.186
1409,23751.482
1410,26252.000
1411,28111.000
1412,32960.297
1413,34723.703
1414,33738.332
1415,33964.184
1416,31129.148
1417,27769.482
1418,22529.555
1419,16260.814
1420,10868.481
1421,8551.148
1422,8404.741
1423,9122.148
1424,9485.370
1425,7214.407
1426,10775.148
1427,14479.963
1428,16980.111
1429,22952.371
1430,24060.260
1431,24027.518
1432,23155.740
1433,21858.223
1434,16860.777
1435,11876.593
1436,12264.037
1437,10833.186
1438,10805.186
1439,12291.814
1440,12717.111
1441,16728.666
1442,17925.703
1443,22684.703
1444,25416.629
1445,25891.629
1446,27821.666
1447,28434.148
1448,26940.408
1449,26626.148
1450,26987.297
1451,28187.297
1452,29920.852
1453,31414.482
1454,30732.555
1455,28741.482
1456,24069.371
1457,18971.111
1458,14194.667
1459,11641.407
1460,12633.148
1461,13653.000
1462,11709.037
1463,12176.223
1464,13532.593
1465,19089.592
1466,22681.186
1467,24672.740
1468,25579.852
1469,24755.889
1470,23724.297
1471,24597.814
1472,26450.000
1473,26407.852
1474,28097.148
1475,31749.371
1476,34162.035
1477,35911.148
1478,35754.297
1479,33589.074
1480,32078.852
1481,30566.148
1482,31819.852
1483,31934.408
1484,30550.814
1485,31014.666
1486,27487.777
1487,24903.740
1488,23776.000
1489,25035.297
1490,24244.223
1491,22531.852
1492,22339.926
1493,23463.371
1494,23436.074
1495,22552.223
1496,20426.223
1497,18865.926
1498,18637.111
1499,20501.408
1500,23779.260
1501,26636.297
1502,27346.334
1503,25194.926
1504,23691.297
1505,22681.371
1506,22942.703
1507,25021.297
1508,25956.629
1509,28627.334
1510,28905.074
1511,29087.629
1512,26487.852
1513,24108.148
1514,24451.482
1515,25100.111
1516,26553.297
1517,30425.408
1518,32882.109
1519,35193.703
1520,34687.258
1521,31287.740
1522,26797.852
1523,23251.703
1524,22088.371
1525,19792.000
1526,20465.555
1527,23937.074
1528,27963.629
1529,33202.965
1530,37650.777
1531,41875.184
1532,46451.074
1533,48562.297
1534,50166.629
1535,48901.594
1536,44535.371
1537,39810.668
1538,34789.184
1539,31721.408
1540,29072.777
1541,29390.297
1542,28601.666
1543,31639.555
1544,35524.297
1545,37782.148
1546,38644.520
1547,35279.703
1548,28192.260
1549,21146.408
1550,14541.111
1551,13205.333
1552,12466.814
1553,13643.667
1554,15218.630
1555,16114.556
1556,20109.703
1557,22185.482
1558,23770.592
1559,22203.592
1560,21108.629
1561,17968.592
1562,14101.556
1563,12165.630
1564,11652.852
1565,11423.777
1566,9930.963
1567,10623.741
1568,10075.370
1569,8053.556
1570,7489.074
1571,6219.296
1572,9798.814
1573,12214.519
1574,14135.370
1575,16943.482
1576,18250.000
1577,16342.074
1578,18109.629
1579,20677.852
1580,23880.111
1581,23076.037
1582,24991.963
1583,23742.186
1584,26385.000
1585,27284.666
1586,27610.000
1587,27221.000
1588,26648.074
1589,22890.592
1590,20725.814
1591,18174.111
1592,17359.186
1593,14942.148
1594,16574.482
1595,18510.074
1596,20585.926
1597,21850.666
1598,22878.963
1599,25826.074
1600,27626.666
1601,30285.482
1602,34191.480
1603,34757.074
1604,35353.816
1605,35621.074
1606,32429.445
1607,28886.074
1608,24334.592
1609,22819.223
1610,23207.592
1611,25297.926
1612,27211.666
1613,26705.260
1614,29048.889
1615,31516.445
1616,33374.406
1617,33977.148
1618,29931.074
1619,28648.852
1620,24344.666
1621,20714.703
1622,18006.740
1623,15403.593
1624,14496.407
1625,14214.741
1626,15330.630
1627,15167.814
1628,14854.777
1629,15301.296
1630,16398.592
1631,16385.852
1632,17030.889
1633,15337.963
1634,16815.260
1635,17507.926
1636,19351.111
1637,21746.666
1638,21381.592
1639,23190.371
1640,22254.000
1641,20570.963
1642,20922.518
1643,20655.555
1644,22049.223
1645,22183.555
1646,21735.666
1647,19985.926
1648,19190.852
1649,17351.445
1650,16763.408
1651,15746.704
1652,15598.223
1653,17417.555
1654,16703.629
1655,16097.963
1656,15045.074
1657,15107.926
1658,13326.148
1659,14782.741
1660,14929.037
1661,15349.186
1662,16716.186
1663,17347.148
1664,21132.371
1665,24113.148
1666,27403.037
1667,29527.037
1668,30970.148
1669,29643.555
1670,27647.148
1671,25635.555
1672,24405.111
1673,28162.963
1674,28281.592
1675,28868.814
1676,29373.926
1677,29250.371
1678,28803.074
1679,28102.482
1680,28575.148
1681,29820.037
1682,32081.889
1683,34517.223
1684,39466.480
1685,42020.926
1686,42930.223
1687,39466.742
1688,36096.816
1689,31453.629
1690,28916.297
1691,26927.297
