"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
6285.0,1.0,37177.856926046785,40455.36550145088,96.29524937789284,70819.44782989686,1541.0301475925128,682.5048681085051,2240.102581744476,6.955585135967713
6286.0,1.0,37177.96360200128,40886.74857381779,111.13098680198249,30964.265163061296,824.3991800885912,215.8072651194107,422.2981014576999,6.720725422278462
6287.0,1.0,37189.850057508156,75317.26019979289,97.87770895359729,88705.0477423924,879.8028854122525,195.91515905050207,227.5370531815398,1.6782303966162198
6288.0,1.0,37082.11553389419,101290.38813936569,136.3228479721525,90504.93832583097,1215.634711747926,743.0315369207264,2090.8706292445245,11.867390443781785
6289.0,1.0,37172.68134938496,116586.75773616471,195.00169808426392,98991.79723579533,396.3973580577632,229.4849777941176,458.4681752091168,6.879830357167637
6290.0,1.0,37219.031665634255,120465.28719252055,106.3637379649472,60625.1400149469,1126.2175940154068,227.82298509963178,332.6607274309216,3.3333715620722812
6291.0,1.0,37189.68870471942,125968.57445312456,91.05807202617093,33191.15952088057,941.8683894946851,149.12023128554554,210.7268992111207,2.9400174986981504
6292.0,1.0,37201.276982133524,130990.31917368335,100.71705156123315,60693.229876947466,1046.824432553298,192.93623780133356,285.8908459421504,2.5405866841422267
6293.0,1.0,37218.94221893801,27693.121369565368,122.61716724504228,30308.445254320846,318.74225302661085,106.62142614845379,174.31920775605698,4.172232418931213
6294.0,1.0,37242.8153469771,55208.89832615718,93.8136246384851,56825.86532079932,910.3644075657872,347.69415103308455,831.6447042186117,4.204648294746846
6295.0,1.0,37279.2028532935,59454.037490479524,87.83932644349018,40735.69261029622,982.9530443900835,139.24178187926867,175.48101684871173,2.097620242541829
6296.0,1.0,37256.8649666343,63162.36571854359,82.74428884501376,25635.562124735137,784.1670266500997,195.86237283196513,398.3275351800214,4.100147373062625
6297.0,1.0,37234.77184516795,78176.46446687634,92.0030413741766,23186.20117712322,744.644338387954,176.1741729437953,320.7966567514251,5.0367987704187644
6298.0,1.0,37250.639210868736,87068.31573205431,97.66251563969169,66125.64616549488,680.1534792129771,150.28063289625194,180.4739105559051,1.7285959367025976
6299.0,1.0,37264.82197938254,100785.18373775017,95.25981079566414,28400.889923306808,951.3388516317613,265.08286309677663,627.7870213026781,6.608230055443898
6300.0,1.0,37277.86896583919,102395.29805100216,86.55929981233311,15437.53203149699,759.4029954607657,107.26525435387423,153.54443226174143,4.1086688165033625
6301.0,1.0,37229.49367806124,129236.94006468922,93.41626969032153,29422.450912301887,768.8741066256146,127.26855798700409,192.89708932465174,2.986006895771599
6302.0,1.0,37317.05308363267,9843.975004280372,104.4830097431154,66111.84517772713,667.1786551308594,335.7421492204453,896.7522603640791,4.328740164210363
6303.0,1.0,37309.29187659284,16597.046464620274,110.5310193678709,90311.61871347459,748.5519834291244,495.1550095550099,1379.5076743706695,5.219606510396398
6304.0,1.0,37361.97467697943,36741.68341400849,116.54619290634756,135556.57052420176,1459.6074802331616,1085.9793272983356,2811.5753426967844,8.463872100293292
6305.0,1.0,37332.48053698782,57272.54876057824,109.36304556752094,160701.21461051182,924.0657273538906,442.9147128594562,785.1471927965426,2.577038824858213
6306.0,1.0,37298.358854016806,84037.15900359761,94.16823081620738,36446.84901894209,868.6314392534852,157.44868159438408,284.39843311629477,3.0196310088461065
6307.0,1.0,37285.46534754735,85125.76135601974,94.85430712213896,17332.531624637275,711.5384990990203,131.86869119992832,234.54872262076535,5.370943017203993
6308.0,1.0,37300.17064637548,91233.22258931407,80.67246233490152,11594.077334165899,784.2949665544959,114.90761938502189,186.2353740311091,5.071920620870476
6309.0,1.0,37353.90724718286,91678.998594453,111.13136251929542,42892.31939638313,785.8410731904381,214.47710191164836,349.83051277659786,4.830667065156015
6310.0,1.0,37289.6463152067,108929.57748826794,93.00968773010308,52887.29835053301,1010.929389575364,281.70556318852897,573.1613505337036,3.6051369452060036
6311.0,1.0,37334.897603948804,130034.07257976604,215.48880306585662,239144.29968530123,4.52928142113322E-11,485.52973595025964,1208.5063494240196,7.340998184758992
6312.0,1.0,37371.774115953194,6012.739510545048,93.64087297959261,128722.33156050454,1026.214274314159,456.2709508961637,981.7000210153152,2.4304070155708644
6313.0,1.0,37409.70872749109,24693.86708827044,90.74560674214582,32202.820473244978,592.6538991753579,130.34212415202217,169.3893393853525,2.6415431435240864
6314.0,1.0,37411.63316172749,29370.825698942645,91.72801231862634,77031.45136837958,895.2076900490999,141.20371507979496,144.22737173068404,1.2453195017226184
6315.0,1.0,37359.1349824605,54159.34042943671,89.66673895502946,140875.83708367407,1514.6587476894604,563.7245616549434,1354.3329874649319,2.512528263840861
6316.0,1.0,37404.23996326135,60202.39210154109,104.5762858746596,119403.64445088175,1180.2988652312458,640.8703062835485,1505.9252237641351,4.572595664296756
6317.0,1.0,37346.49097619157,64824.04012040111,98.24503376859951,57571.08361037158,683.5420705644699,160.34268902844448,203.2591820349399,2.1305778046724293
6318.0,1.0,37400.69682919606,65824.10851947452,92.9794710967608,143292.55534056228,2038.7932370504157,1132.9526273659897,3928.7734513085807,5.318690395713954
6319.0,1.0,37362.76137488657,66221.18501175888,126.49279499883502,75214.00604022072,797.5960194166513,404.9995729484935,818.8264316429015,6.7127047436325515
6320.0,1.0,37377.841449693835,116207.50335767813,100.58177029096686,37730.728593731474,1121.1611837742678,251.2775896062603,431.9165597526413,5.263107274940513
6321.0,1.0,37372.21487904612,122583.02131271108,88.8800141010055,33697.73814571036,1430.8516356577761,297.8964940044325,565.9223876042657,5.450411247828189
6322.0,1.0,37408.975643017686,124923.14910921796,84.87343277498529,28321.419932805202,973.1486600900984,98.77420791543162,93.02384579708391,2.019794452211288
6323.0,1.0,37461.8872567118,3404.262185454369,90.20773386833798,45889.45075841586,557.4230010661097,118.89058158405017,182.59376098555964,1.69410979243603
6324.0,1.0,37430.069798137774,19873.37867465844,88.00105580558099,32894.45233917317,510.03235962493017,92.1804892792047,116.75653071625304,1.7581556644295917
6325.0,1.0,37521.072672767776,29932.7395465082,127.94915517250254,34179.970440842095,658.4112998503699,136.49191264473717,231.71301725236833,5.129149763169683
6326.0,1.0,37415.70674814838,37877.281709136005,127.8648161297244,94828.985034508,393.1108810350575,711.0860842891989,2265.9797576540145,9.5381480530042
