id,frame,x [nm],y [nm],sigma [nm],intensity [photon],log10(intensity),offset [photon],bkgstd [photon],chi2,uncertainty [nm]
29729,1,117787.5662,104737.2846,122.854,83199.01989,4.920,720.8613935,267.4229273,442.7647939,3.795201314
29730,1,117739.7892,105136.8925,90.374,16218.6667,4.210,1079.784859,146.2459722,218.9357755,5.769866017
29731,1,117725.274,107870.7959,116.671,139109.4414,5.143,1222.621154,328.8600925,502.3366183,2.521117938
29732,1,117743.8554,111020.3905,101.019,15371.06079,4.187,912.8888714,130.592459,182.3406887,6.789530197
29733,1,117704.9756,118309.2542,124.840,49142.0096,4.691,733.7449295,175.3786509,259.0826898,4.36042488
29734,1,117760.1326,125858.7881,111.016,34090.0124,4.533,778.537122,190.4481019,360.1607319,5.386164388
29735,1,117804.5136,4585.214184,119.660,28769.95626,4.459,913.8702951,147.0743718,209.5173524,5.733881957
29736,1,117829.5096,6906.748305,148.752,86702.1177,4.938,1337.229338,173.7900865,156.2092887,3.484712467
29737,1,117837.8014,21252.43457,191.575,124531.7122,5.095,690.4993217,272.4075426,500.5253923,6.263664949
29738,1,117826.8322,32034.43778,128.724,60677.86477,4.783,1617.260983,496.0651154,1284.555775,10.54219676
29739,1,117799.147,36514.7332,133.335,43551.76589,4.639,657.6821535,155.1971929,229.9630359,4.966208841
29740,1,117764.8046,45600.01384,180.593,207318.6142,5.317,757.9345943,541.9693127,1029.957038,6.638729919
29741,1,117777.9413,48240.87328,128.402,73703.11751,4.867,962.652002,203.9715874,258.0807329,3.578465281
29742,1,117789.8015,66366.14862,105.896,53989.99976,4.732,1632.375601,503.8970614,1366.264591,8.147936312
29743,1,117836.6248,71517.8146,164.527,64013.62777,4.806,421.9208794,140.9113222,208.1134103,4.67738097
29744,1,117798.2501,93142.96092,115.843,41357.44158,4.617,1055.598282,180.6597426,275.9796388,4.592647649
29745,1,117836.4364,94135.22847,177.692,90436.27562,4.956,522.2878452,276.8958761,578.000511,7.537407135
29746,1,117835.9078,96258.60552,122.824,62514.9128,4.796,864.6670105,240.4047713,435.3450936,4.53635889
29747,1,117829.3503,100389.3958,123.778,28458.25585,4.454,969.9878156,199.1983397,376.8384431,8.36833115
29748,1,117767.382,116050.4069,100.914,20938.90167,4.321,802.3328256,174.4360688,329.8533116,6.63200458
29749,1,117848.3184,120067.8435,119.283,32546.38444,4.513,868.972616,170.3829172,277.706973,5.827998073
29750,1,117803.6348,127103.2652,116.572,190317.8416,5.279,1200.125802,447.4798905,705.4172709,2.498060312
29751,1,117853.1693,128149.4307,106.098,15261.52065,4.184,766.8247465,173.5479191,423.6687635,9.987481182
29752,1,117692.0162,130527.761,143.481,79186.06851,4.899,814.8385489,409.277456,1005.206444,8.286161506
29753,1,117917.0895,27943.14476,154.461,51839.5952,4.715,738.0574338,177.5573415,283.552241,6.388156696
29754,1,117915.4895,35716.87815,115.151,19632.39315,4.293,896.7487625,137.5333802,225.6958063,7.267695643
29755,1,117870.6936,50240.76726,132.485,125485.2656,5.099,1045.194694,276.85741,360.0975142,3.033554379
29756,1,117909.1061,50876.07929,150.461,133119.6282,5.124,836.6207113,448.9289547,824.0133259,5.948463221
29757,1,117876.7705,59843.65123,117.753,23766.19574,4.376,648.8056113,162.9883384,342.5154168,7.431319669
29758,1,117897.4727,67123.79182,119.360,33908.87982,4.530,834.9913909,152.1952671,222.6115616,5.013243469
29759,1,117875.1553,81851.70574,105.417,26206.21644,4.418,1027.193828,126.865179,151.0867314,4.233340108
29760,1,117861.9252,89644.63306,122.758,71515.17609,4.854,884.2522461,194.6438244,279.6681835,3.221519698
29761,1,117924.1252,101667.5424,138.024,33040.90053,4.519,744.127472,244.2993326,576.9102543,10.97483376
29762,1,117906.1311,105646.4658,130.742,128297.7462,5.108,1087.669623,526.7564754,1194.398595,5.467251118
29763,1,117836.9132,117413.2084,145.280,47803.97084,4.679,626.7903697,262.2287131,683.1971215,9.023742772
29764,1,117866.3534,129590.4276,98.277,14054.17,4.148,679.789321,114.8546614,200.7605469,6.19263339
29765,1,117935.963,17737.25651,147.801,79483.29272,4.900,878.2775887,164.4464999,175.1589255,3.552405296
29766,1,117906.8247,31896.18995,147.704,94263.67135,4.974,1193.55024,357.4834866,624.3161502,6.448911299
29767,1,117858.9044,45341.96721,149.352,65510.76284,4.816,1372.838861,251.5441224,408.1623079,6.683017604
29768,1,117920.8033,54526.66285,130.296,112586.3194,5.051,1424.726145,192.0445256,169.7855092,2.284740521
29769,1,117900.9219,70368.89247,200.087,166031.5166,5.220,355.9557462,321.5522224,600.0420042,6.046565651
29770,1,117908.5057,75878.58608,100.446,35915.63919,4.555,1331.608693,237.1744292,431.0816387,5.206543528
29771,1,117925.0169,78796.205,147.106,39062.51101,4.592,853.0109344,221.1884267,451.6247364,9.553648763
29772,1,117947.6509,79465.48943,113.684,57947.1304,4.763,900.8181526,170.4596198,203.2489799,2.993448126
29773,1,117969.7119,86405.44735,154.214,42927.93087,4.633,553.7175303,248.8509202,572.3940713,10.74158361
29774,1,117878.1749,107620.6521,167.464,81705.2494,4.912,949.12969,594.5301887,1523.005811,15.87175451
29775,1,117955.0229,125539.1959,90.464,19079.72229,4.281,827.8675671,266.2821713,676.2797341,8.902560514
29776,1,117986.9984,20052.12642,133.277,99287.44719,4.997,1160.252695,229.7043394,264.3448134,3.222502312
29777,1,117999.5572,35276.7776,129.322,36015.65864,4.556,767.5378036,122.259545,144.4056012,4.465978053
29778,1,118011.2194,36847.32651,121.259,23525.83547,4.372,903.4809577,163.5373137,264.0650083,7.984571145
29779,1,118040.0599,46752.51163,123.943,65201.89658,4.814,1229.635006,162.1669137,177.8069539,3.009953766
29780,1,118017.4724,53634.28267,94.169,17259.87162,4.237,1238.372343,181.1349152,302.4823294,7.270141321
29781,1,117988.6643,66056.49525,103.959,54244.83051,4.734,1206.068873,347.7218132,837.1486507,5.403681478
29782,1,117931.2266,68935.90324,153.333,81516.81104,4.911,1011.758128,369.7137847,707.1617582,8.305600105
29783,1,118023.7121,90052.01627,110.910,82702.75131,4.918,1113.446494,179.2257106,186.6865771,2.108532905
29784,1,117995.5599,93812.11218,126.082,95131.49637,4.978,822.1806424,360.4272957,818.9728632,4.699411624
29785,1,118030.6251,102094.6594,111.233,102234.8304,5.010,1161.073979,227.2731982,312.735434,2.166762278
29786,1,118067.84,106708.9232,210.610,345810.1918,5.539,9.67E-09,354.6510926,479.0797914,3.553997332
29787,1,118054.9229,106765.8812,240.431,371840.2114,5.570,286.3965196,260.1254488,301.641167,3.167942423
29788,1,118025.7001,112621.9614,235.977,150801.7778,5.178,5.27E-09,224.0364848,469.2656305,6.458834623
29789,1,117967.5367,131216.1269,116.294,92606.94485,4.967,1372.477118,496.9248147,1308.056375,5.653789476
29790,1,118083.3482,15408.29468,160.312,54580.74399,4.737,776.4528584,136.6647284,167.7144436,5.04908525
29791,1,118070.9131,19261.81796,138.623,33946.6342,4.531,782.6574986,142.3042799,194.6166242,6.306977783
29792,1,118047.5709,22167.90112,179.665,136909.4436,5.136,670.4024059,245.7484074,384.4124708,4.52983052
29793,1,118088.4081,25987.7676,131.232,32208.33491,4.508,963.5963458,118.4430791,129.531091,4.977560299
29794,1,118071.3596,44581.50869,128.005,65879.2978,4.819,1083.094062,326.732694,679.2098202,6.33625229
29795,1,118070.6835,87537.14942,122.317,70440.18485,4.848,1201.619155,405.7040044,893.5516057,6.713887754
29796,1,118123.5125,95111.87834,131.532,66635.98702,4.824,564.4195964,169.7412911,226.7480368,3.463766395
29797,1,118101.7625,109438.008,112.628,29590.79109,4.471,677.2309973,111.3641728,153.1787982,3.769474495
29798,1,117997.1622,113573.3666,128.392,45144.65398,4.655,700.3873696,227.1004557,397.8088631,6.474200187
29799,1,118097.3752,124509.4266,147.551,63454.52512,4.802,424.4072943,262.6147854,709.1857054,7.028115877
29800,1,118106.7221,3680.123185,183.377,86288.44996,4.936,628.9964896,158.8857304,202.5706926,4.853385436
