id,frame,x [nm],y [nm],sigma [nm],intensity [photon],log10(intensity),offset [photon],bkgstd [photon],chi2,uncertainty [nm]
1,1,199.7382501,44558.55208,52.14010281,1887.617304,3.276,681.4988325,85.19053664,141.7630459,9.621097917
2,1,377.6774069,88253.80117,334.8672737,139978.6464,5.146,3.50E-10,115.6115019,228.9465184,7.254147693
3,1,412.12574,20540.79276,42.42607492,1277.594063,3.106,761.7886926,113.4494047,218.3223137,12.49069261
4,1,412.7204295,93669.80333,123.5904089,7886.535684,3.897,523.9013736,94.05503614,207.9962714,14.22854625
5,1,441.6201025,22696.45911,329.0985572,127704.0662,5.106,3.43E-07,98.08727299,196.9806291,6.531230268
6,1,459.7784049,46985.22172,83.79528577,3183.914148,3.503,663.7333881,94.70432274,167.0142644,16.30446301
7,1,467.2268165,62334.06945,100.1782584,4880.404702,3.688,600.9728828,112.2042611,252.1361479,17.99253463
8,1,570.6066664,29896.72261,49.37828737,1635.176631,3.214,613.5991097,94.51045016,184.0295684,11.03083172
9,1,655.0791498,71157.93609,88.35680307,3216.764561,3.507,658.788238,83.52956415,135.3272384,15.83678012
10,1,717.5247692,19918.40276,126.9837318,7758.580098,3.890,622.3954404,79.90163078,116.1320552,12.98911436
11,1,901.747938,108041.0776,58.77955467,2637.573639,3.421,607.4953904,90.92027765,184.2941947,9.334500798
12,1,1443.619029,33080.88735,91.73184264,4504.523561,3.654,582.8661373,108.647715,260.601055,15.83663092
13,1,1584.965006,6127.315228,61.48444294,2209.081572,3.344,628.1003305,96.06111687,193.8860051,12.84983254
14,1,1598.886785,12165.74255,96.00040169,3786.262903,3.578,576.2966531,97.93778818,199.8674634,18.59676801
15,1,1628.239609,79677.66948,45.98312865,1723.698301,3.236,631.8089204,99.23885904,197.5756782,9.537039828
16,1,1689.792104,47001.38699,62.168512,2815.657823,3.450,681.1587281,115.538744,242.2236136,12.38728321
17,1,1729.033256,58333.28108,143.4842861,9955.246092,3.998,526.7080531,98.58975375,192.6614319,15.91326923
18,1,1769.913343,68762.129,112.9977878,7329.775488,3.865,842.3999378,102.5671932,141.6935174,13.95157604
19,1,1672.652201,104855.1591,73.68331118,2567.391592,3.409,570.9820162,102.1162644,240.6353697,16.85111048
20,1,1895.226789,58938.40594,89.40980633,4223.794056,3.626,621.2325032,95.54238537,177.3018463,14.12485016
21,1,2005.293784,45263.60482,121.9938233,9791.473024,3.991,554.337356,115.9921511,249.6338837,13.75966073
22,1,2642.208097,46224.17856,129.1213606,7475.136015,3.874,638.8177914,123.51269,280.6873576,21.46468872
23,1,2660.176325,52448.01665,136.4647971,12805.80548,4.107,488.0331195,81.90863387,141.516459,9.337808563
24,1,2773.325298,4280.70404,76.63773125,4703.15342,3.672,635.9789411,94.39345529,171.6347845,9.234058611
25,1,2746.503388,71265.15522,94.22067156,5615.286246,3.749,635.3798397,107.9978642,217.4118459,13.33251036
26,1,3521.724636,22305.64322,71.83319678,2204.883083,3.343,665.7815901,83.41859035,139.086352,15.25564964
27,1,3534.495524,41106.29706,98.47769635,5212.268778,3.717,625.9269718,103.602661,191.3552809,15.04652979
28,1,3484.730841,79207.18103,56.8801212,2275.08468,3.357,643.4200609,105.4968093,231.790962,11.72797388
29,1,3487.766014,92417.09136,107.7040833,7182.551429,3.856,572.33616,108.8579111,246.4995128,13.72560551
30,1,3780.99512,30137.66562,393.5564509,204141.8124,5.310,7.97E-08,108.0079899,198.8623083,6.428811389
31,1,3840.495951,69040.56447,67.40889349,2108.397187,3.324,700.603734,104.1714502,195.3217514,17.51615657
32,1,3857.159027,80645.44348,199.5478363,27222.68143,4.435,413.514155,92.51754897,159.0302258,10.58825187
33,1,3873.4335,56189.07948,70.38615815,3429.84208,3.535,629.4889469,103.3645431,196.870529,11.67105483
34,1,3921.371717,89802.57968,308.4477512,117156.3783,5.069,1.21E-06,102.3278761,223.1997813,6.521584185
35,1,3928.09606,81949.46919,234.1802149,59123.45935,4.772,451.4811468,127.2115585,248.88596,9.221973226
36,1,4319.933518,6745.948894,97.96824465,5306.854339,3.725,674.9010719,103.3093316,190.2489019,14.58660339
37,1,4368.521089,81289.4466,193.3335748,23560.03975,4.372,546.891394,115.6513322,241.8031129,14.31701038
38,1,4464.568788,70760.64196,99.3912251,32606.5578,4.513,656.9457576,194.086062,455.6370896,4.604490603
39,1,4634.018818,78801.28695,59.8493518,1960.478292,3.292,632.8486005,101.0738828,215.9726254,14.4230782
40,1,4680.604746,66387.72093,104.7348835,6600.585632,3.820,728.0482194,125.692944,249.1149407,16.28842429
41,1,4684.295968,80835.59265,109.9473999,7603.657927,3.881,615.7408472,90.4178473,148.9980003,11.24574167
42,1,4822.59437,28422.70441,69.51482935,2766.659103,3.442,653.3586102,113.075591,302.7821854,15.41155755
43,1,4780.006392,65930.84085,40.8547029,1677.94671,3.225,683.4755628,105.9305838,206.0423865,8.26308457
44,1,4830.423843,86300.79804,76.9301332,2238.994914,3.350,727.5315553,110.3398783,206.6283772,22.73064387
45,1,4930.228816,14403.40159,81.25574652,4034.839623,3.606,664.407589,103.7915538,187.7732218,13.26599115
46,1,4911.15337,47288.84206,142.1116295,11307.51341,4.053,515.6190141,98.0332803,203.9937111,13.67557301
47,1,5218.35955,103771.3429,4.682481356,1018.320557,3.008,594.4967966,118.9911941,308.3712253,0.63374701
48,1,5209.28897,105119.1325,88.78261361,4120.402259,3.615,676.7667475,104.016932,202.1774294,15.53051955
49,1,5262.750924,44982.47064,82.77904087,3386.038848,3.530,651.2587017,88.75734844,148.330701,14.03683706
50,1,5427.974019,98769.13162,120.3445975,6880.001332,3.838,721.1104877,97.41307297,150.7594531,16.00578079
51,1,5603.681763,72362.49818,91.9805152,3984.382084,3.600,583.5926203,102.7922573,237.3868223,17.02992229
52,1,5629.645043,85113.52967,184.4189288,16740.20955,4.224,702.0757541,110.7295608,177.4157982,17.54392245
53,1,6051.458323,67571.7709,77.51078739,3024.373911,3.481,774.8599997,94.30040981,140.3861155,14.63201755
54,1,6175.871606,31194.46683,73.34993982,3547.83384,3.550,669.6509592,104.9902903,230.5799036,12.44006032
55,1,6128.744697,64720.67274,123.737224,9313.8966,3.969,718.477911,109.2265953,196.0448168,14.01600239
56,1,6077.645173,64999.97056,403.7951026,243264.7523,5.386,1.21E-08,117.0181762,216.6667476,6.151005357
57,1,6197.090975,59427.7613,65.28728988,2070.322355,3.316,672.1881513,94.74504554,171.7412733,15.23452879
58,1,6359.544739,96169.56576,126.2776684,9249.55452,3.966,666.0113732,116.6273027,255.2104126,15.68387238
59,1,6499.994083,85255.44407,73.42709125,3008.895094,3.478,597.8193773,103.6443248,229.8846529,14.50072718
60,1,6485.817506,98752.19369,126.9418133,7890.849488,3.897,533.5133556,112.26969,240.8972656,17.87846366
61,1,6662.268808,43966.79454,70.64017172,3955.640333,3.597,701.6897157,111.4059154,204.9856255,10.98491421
62,1,6772.344495,75601.65626,114.5114892,6362.799215,3.804,546.3899145,119.15247,342.3983549,19.14125955
63,1,6880.668581,93708.46814,99.53653005,5113.017794,3.709,600.10911,89.72947386,160.1380056,13.58797109
64,1,6867.672901,54325.3991,160.2923924,11253.42516,4.051,569.0167047,103.5870416,210.9966635,18.44542403
65,1,6982.352845,77275.45236,118.2972675,7500.980139,3.875,571.4799262,100.0374698,204.88683,14.57197159
66,1,7052.536717,60155.06442,72.17508073,2920.011756,3.465,638.3449022,119.593812,308.4244183,16.64010977
